date;receptor;code;sex;0;0,1;0,3;0,6;1;3;10;30;SCORE;on mouth;remarks
18.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;1;1;2;1;
19.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;0;1;1;1;
19.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;1;1;2;1;
19.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;0;1;1;1;
20.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;1;1;2;1;
20.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;1;1;2;1;in 3% a bit extension
20.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;1;1;1;1;4;1;
24.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;1;1;1;3;1;in 1% a bit extension
25.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;0;0;0;1;in 30% a bit extension
25.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;1;1;2;1;in 10% one PER
25.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;0;1;1;1;
25.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;0;1;1;1;
25.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;1;1;2;1;
26.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;1;1;2;1;
26.06.2013;delta4.3octﬂ2R;d1;f;0;0;0;0;0;0;0;0;0;1;
