date;fly;genotype;starvation;sensillum;group;spikes
May 14;2;tbh;starved;L5;tbhstarved;43
May 14;3;tbh;starved;L5;tbhstarved;80
May 14;4;tbh;starved;L5;tbhstarved;58
May 14;5;tbh;starved;L5;tbhstarved;34
May 14;6;tbh;starved;L5;tbhstarved;26
May 14;7;tbh;starved;L5;tbhstarved;16
May 14;8;tbh;starved;L5;tbhstarved;34
May 14;1;tbh;starved;L7;tbhstarved;23
May 14;2;tbh;starved;L7;tbhstarved;45
May 14;3;tbh;starved;L7;tbhstarved;74
May 14;4;tbh;starved;L7;tbhstarved;53
May 14;5;tbh;starved;L7;tbhstarved;36
May 14;6;tbh;starved;L7;tbhstarved;17
May 14;7;tbh;starved;L7;tbhstarved;15
May 14;8;tbh;starved;L7;tbhstarved;41
Nov 13;1;w+;fed;L3;w+fed;78
Nov 13;2;w+;fed;L3;w+fed;41
Nov 13;3;w+;fed;L3;w+fed;50
Nov 13;4;w+;fed;L3;w+fed;34
Nov 13;6;w+;fed;L3;w+fed;71
Nov 13;8;w+;fed;L3;w+fed;34
Nov 13;9;w+;fed;L3;w+fed;32
Nov 13;10;w+;fed;L3;w+fed;47
Nov 13;11;w+;fed;L3;w+fed;50
Nov 13;1;w+;fed;L5;w+fed;61
Nov 13;2;w+;fed;L5;w+fed;37
Nov 13;3;w+;fed;L5;w+fed;41
Nov 13;4;w+;fed;L5;w+fed;75
Nov 13;5;w+;fed;L5;w+fed;29
Nov 13;6;w+;fed;L5;w+fed;81
Nov 13;7;w+;fed;L5;w+fed;46
Nov 13;8;w+;fed;L5;w+fed;45
Nov 13;9;w+;fed;L5;w+fed;32
Nov 13;10;w+;fed;L5;w+fed;47
Nov 13;11;w+;fed;L5;w+fed;45
Nov 13;12;w+;fed;L5;w+fed;53
Nov 13;13;w+;fed;L5;w+fed;27
Nov 13;2;w+;fed;L7;w+fed;40
Nov 13;3;w+;fed;L7;w+fed;39
Nov 13;4;w+;fed;L7;w+fed;71
Nov 13;5;w+;fed;L7;w+fed;31
Nov 13;6;w+;fed;L7;w+fed;65
Nov 13;7;w+;fed;L7;w+fed;50
Nov 13;8;w+;fed;L7;w+fed;46
Nov 13;9;w+;fed;L7;w+fed;33
Nov 13;10;w+;fed;L7;w+fed;48
Nov 13;11;w+;fed;L7;w+fed;40
Nov 13;12;w+;fed;L7;w+fed;61
Nov 13;13;w+;fed;L7;w+fed;38
Nov 13;1;w+;starved;L3;w+starved;30
Nov 13;2;w+;starved;L3;w+starved;38
Nov 13;3;w+;starved;L3;w+starved;45
Nov 13;4;w+;starved;L3;w+starved;45
Nov 13;5;w+;starved;L3;w+starved;38
Nov 13;6;w+;starved;L3;w+starved;39
Nov 13;8;w+;starved;L3;w+starved;39
Nov 13;10;w+;starved;L3;w+starved;33
Nov 13;11;w+;starved;L3;w+starved;37
Nov 13;12;w+;starved;L3;w+starved;45
Nov 13;13;w+;starved;L3;w+starved;52
Nov 13;1;w+;starved;L5;w+starved;40
Nov 13;3;w+;starved;L5;w+starved;67
Nov 13;4;w+;starved;L5;w+starved;54
Nov 13;5;w+;starved;L5;w+starved;37
Nov 13;7;w+;starved;L5;w+starved;49
Nov 13;8;w+;starved;L5;w+starved;74
Nov 13;9;w+;starved;L5;w+starved;22
Nov 13;10;w+;starved;L5;w+starved;39
Nov 13;11;w+;starved;L5;w+starved;46
Nov 13;12;w+;starved;L5;w+starved;61
Nov 13;13;w+;starved;L5;w+starved;49
Nov 13;1;w+;starved;L7;w+starved;48
Nov 13;3;w+;starved;L7;w+starved;64
Nov 13;4;w+;starved;L7;w+starved;32
Nov 13;5;w+;starved;L7;w+starved;38
Nov 13;6;w+;starved;L7;w+starved;23
Nov 13;7;w+;starved;L7;w+starved;65
Nov 13;8;w+;starved;L7;w+starved;75
Nov 13;9;w+;starved;L7;w+starved;44
Nov 13;10;w+;starved;L7;w+starved;44
Nov 13;12;w+;starved;L7;w+starved;32
May 14;1;w+;fed;L3;w+fed;52
May 14;2;w+;fed;L3;w+fed;28
May 14;3;w+;fed;L3;w+fed;43
May 14;4;w+;fed;L3;w+fed;32
